Lender Number,Lender Loan Number,Delinquent Flag,Account Number,Tax Year,Year For,Billing Type,Real Property Value,Total Personal Value,Principal Due (xxxxxxxx.xx),Interest Due,Cost Due,Total Due
     ,                 , ,250,2016,2016,0,122250,0,871.47,0,0,871.47
     ,                 , ,251,2016,2016,0,186418,0,1919.23,0,0,1919.23
     ,                 , ,252,2016,2016,0,1625820,0,116.58,0,0,116.58
     ,                 , ,253,2016,2016,0,117760,0,444.23,0,0,444.23
     ,                 , ,254,2000,2000,0,24000,0,0,0,0,0
     ,                 , ,254,2016,2016,0,30000,0,208.95,0,0,208.95
     ,                 , ,255,2016,2016,0,195258,0,2009.28,0,0,2009.28
     ,                 , ,256,2016,2016,0,144859,0,1495.83,0,0,1495.83
     ,                 , ,257,2016,2016,0,125274,0,1296.29,0,0,1296.29
     ,                 , ,258,2016,2016,0,279366,0,2866.18,0,0,2866.18
     ,                 , ,259,2016,2016,0,260814,0,3048.39,0,0,3048.39
     ,                 , ,260,2016,2016,0,237350,0,1673.15,0,0,1673.15
     ,                 , ,261,2016,2016,0,281200,0,2884.87,0,0,2884.87
     ,                 , ,262,2016,2016,0,264035,0,2709.99,0,0,2709.99
     ,                 , ,263,2016,2016,0,291480,0,2030.16,0,0,2030.16
     ,                 ,Y,265,2006,2006,0,10000,0,117.4,103.61,4,225.01
     ,                 ,Y,265,2007,2007,0,10000,0,122.8,97.32,4,224.12
     ,                 ,Y,265,2008,2008,0,26000,0,271.44,190.69,4,466.13
     ,                 ,Y,265,2009,2009,0,26000,0,271.44,166.26,4,441.7
     ,                 ,Y,265,2010,2010,0,26000,0,271.44,141.83,2.59,415.86
     ,                 ,Y,265,2011,2011,0,26000,0,271.44,117.4,2.59,391.43
     ,                 ,Y,265,2012,2012,0,26000,0,271.44,92.97,2.59,367
     ,                 ,Y,265,2013,2013,0,26000,0,271.44,68.54,2.59,342.57
     ,                 ,Y,265,2014,2014,0,26000,0,285.48,46.39,2.65,334.52
     ,                 ,Y,265,2015,2015,0,26000,0,294.97,21.39,2.75,319.11
     ,                 , ,265,2016,2016,0,20000,0,224.1,0,0,224.1
     ,                 , ,267,2016,2016,0,176984,0,2023.11,0,0,2023.11
     ,                 , ,269,2016,2016,0,90938,0,653.38,0,0,653.38
     ,                 , ,270,2016,2016,0,34400,0,239.59,0,0,239.59
     ,                 , ,271,2016,2016,0,176039,0,1246.11,0,0,1246.11
     ,                 , ,272,2016,2016,0,221104,0,2272.61,0,0,2272.61
     ,                 , ,273,2016,2016,0,63143,0,459.79,0,0,459.79
     ,                 , ,274,2016,2016,0,230715,0,71.59,0,0,71.59
     ,                 , ,275,2016,2016,0,223425,0,56.71,0,0,56.71
     ,                 , ,276,2016,2016,0,3061155,0,186.23,0,0,186.23
     ,                 , ,277,2016,2016,0,4572783,0,175.28,0,0,175.28
     ,                 , ,278,2016,2016,0,311164,0,2000,0,0,2000
     ,                 , ,279,2016,2016,0,393664,0,46.8,0,0,46.8
